Date,AAPL,AMZN,GOOGL,MSFT
2023-02-28,145.30496215820312,94.2300033569336,89.32176208496094,243.64987182617188
2023-03-01,143.23492431640625,92.16999816894531,89.61930084228516,240.57278442382812
2023-03-02,143.8263702392578,92.12999725341797,91.245849609375,245.30079650878906
2023-03-03,148.8732147216797,94.9000015258789,92.88233184814453,249.3840789794922
2023-03-06,151.63328552246094,93.75,94.35018920898438,250.92755126953125
2023-03-07,149.4351043701172,93.55000305175781,93.09060668945312,248.2704620361328
2023-03-08,150.68698120117188,93.91999816894531,93.47740936279297,247.8308563232422
2023-03-09,148.43954467773438,92.25,91.563232421875,246.48281860351562
2023-03-10,146.37939453125,90.7300033569336,89.8870849609375,242.839111328125
2023-03-13,148.32125854492188,92.43000030517578,90.36315155029297,248.04579162597656
2023-03-14,150.41098022460938,94.87999725341797,93.19969940185547,254.75685119628906
2023-03-15,150.8052978515625,96.19999694824219,95.3221664428711,259.2992858886719
2023-03-16,153.62442016601562,100.04000091552734,99.4976577758789,269.8103942871094
2023-03-17,152.78656005859375,98.94999694824219,100.7870101928711,272.96563720703125
2023-03-20,155.1522674560547,97.70999908447266,100.3902816772461,265.9322204589844
2023-03-21,157.00543212890625,100.61000061035156,104.05994415283203,267.4463195800781
2023-03-22,155.57614135742188,98.69999694824219,102.52265930175781,265.9908142089844
2023-03-23,156.66043090820312,98.70999908447266,104.73436737060547,271.2366027832031
2023-03-24,157.9615936279297,98.12999725341797,104.57568359375,274.0793151855469
2023-03-27,156.01974487304688,98.04000091552734,101.62010192871094,269.9862060546875
2023-03-28,155.39871215820312,97.23999786376953,100.20183563232422,268.86285400390625
2023-03-29,158.47418212890625,100.25,100.55888366699219,274.0206604003906
2023-03-30,160.04144287109375,102.0,100.06297302246094,277.4787292480469
2023-03-31,162.54519653320312,103.29000091552734,102.87970733642578,281.6304626464844
2023-04-03,163.7970428466797,102.41000366210938,103.50452423095703,280.585205078125
2023-04-04,163.2647705078125,103.94999694824219,103.86158752441406,280.5363464355469
2023-04-05,161.42144775390625,101.0999984741211,103.61363983154297,277.7620849609375
2023-04-06,162.30860900878906,102.05999755859375,107.53125762939453,284.85406494140625
2023-04-10,159.71615600585938,102.16999816894531,105.56748962402344,282.6951904296875
2023-04-11,158.50375366210938,99.91999816894531,104.48641967773438,276.2870178222656
2023-04-12,157.81375122070312,97.83000183105469,103.78223419189453,276.93170166015625
2023-04-13,163.19577026367188,102.4000015258789,106.54936981201172,283.13482666015625
2023-04-14,162.85076904296875,102.51000213623047,107.9775619506836,279.5204162597656
2023-04-17,162.87049865722656,102.73999786376953,105.10133361816406,282.1188659667969
